7dac31838b627748eb631ba05bd8dfe_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [13.406195 21.326334 20.       20.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [20.          0.21588668 20.         20.         40.        ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [ 7.345515 32.165367 20.       40.       40.      ]
216d910f71942f205df3c6413d40ccb2_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.      15.01876 40.      20.      20.     ]
216d910f71942f205df3c6413d40ccb2_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [ 8.091797 25.05535  40.       20.       40.      ]
825fb860d71c78a477c771b4b7eed82c_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [27.6145   14.497013 20.       20.       22.262508]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [22.762789 34.046494 40.       40.       11.136225]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [29.699291 27.117218 10.890279 39.649902 20.      ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20.         3.4347992 40.        40.        12.628975 ]
1a64bf1e658652ddb11647ffa4306609_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [28.670517   6.986741   1.9443313 33.713676  20.       ]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [13.342741   3.9532793 40.        20.        40.       ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 4.5934505 15.593599  18.808765  15.035811  30.01345  ]
7dac31838b627748eb631ba05bd8dfe_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [14.733941 39.85388  20.       20.       40.      ]
c61ec8875746ab78227375499b768057_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [18.790266 25.12023  40.       20.       40.      ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [24.005003 28.041988 40.       20.       26.366245]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [13.745191 14.472404  6.347562 40.       40.      ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [18.196552   7.2406244 40.        20.        40.       ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.          0.63500506 40.         40.         40.        ]
a387407d49e209fdeea60824a43a0b_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       37.01566  20.       26.415016 30.71571 ]
216d910f71942f205df3c6413d40ccb2_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [12.8776   22.186346 20.       40.       40.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [15.258657 40.6883   20.       20.       40.      ]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [19.4449   13.836401 40.       40.       27.244478]
5ec3322293a39816ad7e7cea4034d226_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [10.60998     7.7737694  40.         20.          0.27160946]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [17.30028    3.1577811 20.        40.        40.       ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [40. 20. 40. 20. 40.]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [28.337147   1.4706304  6.254104  50.045456  20.       ]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [22.008303 37.971924 23.051165 20.       20.      ]
4458ed2a746e61a3b11647ffa4306609_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [11.763152 28.840935 40.       20.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [16.949377 24.154755 20.       20.       20.      ]
6265f0745d3f40546bcd32c43682e841_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [24.609285 23.939768 40.       20.       20.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40. 20. 20. 40. 40.]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.         5.1155314 40.        23.389341  32.962948 ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [19.892185 33.68222  20.       20.       20.      ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [12.861488 26.264982 11.526281 20.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [27.385517 18.950285 40.       20.       40.      ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [40.        24.270584  20.        20.         4.7585115]
9d2b7938d426633b28044fe9244db50a_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [20. 20. 40. 40. 20.]
a387407d49e209fdeea60824a43a0b_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.         3.5234804 40.        11.796788  21.160313 ]
cde88b5900e8dfba725a7749daae1afa_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [26.38189  10.632927 40.       20.       20.      ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.         1.6122144 40.        40.        20.       ]
5e87b04efd58cc8922412d2a728de1d5_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       22.736185 40.       33.521313 27.012873]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         7.1527123 20.        38.212883  25.1826   ]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [24.569172  9.706543 40.       20.       22.337412]
5ec3322293a39816ad7e7cea4034d226_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [23.143402   26.092684   40.         40.          0.22868206]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [28.605022 29.976295 23.662367 36.203724 22.953558]
2f7cf2c2d170e3c936f37029483b3e41_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [27.002102 30.01953  40.       40.       20.      ]
4ac021653126a29e98618a1ba17f086b_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [22.117887 12.212439 20.       40.       40.      ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       28.647442 20.       27.39584  27.406916]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [14.149891 21.1857   40.       20.       20.      ]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [34.285286 18.394157 38.89837  38.47049  20.187063]
7dac31838b627748eb631ba05bd8dfe_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.         0.4090981 40.        40.        40.       ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       38.3582   20.        8.793423 25.413166]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [29.425293  8.385341 40.       20.       27.254612]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [15.510682 11.83512  20.       20.       40.      ]
9c827e532de4967285089a13cc567dbd_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [ 2.4124248 13.382378  20.        20.        40.       ]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.       34.846867 40.       20.       25.03949 ]
216d910f71942f205df3c6413d40ccb2_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [18.16836  20.420973 20.       40.       40.      ]
6265f0745d3f40546bcd32c43682e841_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [15.093822  8.821719 20.       40.       40.      ]
4458ed2a746e61a3b11647ffa4306609_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.  33.4 20.  40.  40. ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [24.351427   5.7610974 20.        20.        40.       ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40. 20. 40. 20. 40.]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20.        24.259287  20.        20.         2.2329195]
1790131f5f74b1ed973aff268eb6b00c_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [ 7.8698606 10.895609  20.        19.775452  40.       ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [32.556725 35.350777 20.       20.       20.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [12.910444 17.836355 20.       20.       27.048706]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [14.342832   2.5195727 40.        20.        40.       ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.      40.      40.      20.      35.85342]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [35.21998  30.609577 20.       40.       17.235323]
923007b377bb1cab473f10e6caaeca56_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [20.      24.73289 40.      20.      20.     ]
4458ed2a746e61a3b11647ffa4306609_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [25.876825 18.709612 20.       20.       40.      ]
923007b377bb1cab473f10e6caaeca56_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [19.27827  16.610846 40.       20.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [25.364689 19.216661 19.171682 40.       40.      ]
6265f0745d3f40546bcd32c43682e841_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.      29.67756 40.      40.      40.     ]
5ec3322293a39816ad7e7cea4034d226_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [30.659454 13.654907 20.       20.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20. 20. 40. 40. 40.]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [24.940907  19.624832   7.9615064 40.        40.       ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [16.916954  8.820592 20.       20.       20.      ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [ 6.5592093 21.960896  20.        20.        40.       ]
6265f0745d3f40546bcd32c43682e841_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [25.538933 31.501787 40.       40.       20.      ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [24.256102 16.689    40.       20.       25.369133]
2f7cf2c2d170e3c936f37029483b3e41_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [22.369526 31.787552 40.       40.       36.917744]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [33.19186  14.690348 22.241106 44.491394 20.872751]
a387407d49e209fdeea60824a43a0b_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [21.708412 28.002905 14.586436 20.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [27.578886 12.467305 31.755703 23.673798 18.105036]
a88d69e53a01aab9ff1370452e3a0154_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [21.843464  17.680912   2.5289586 10.1848755 22.124382 ]
70e27da90dec2de49604bf8c981ad1eb_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.         4.1938314 40.        20.        17.609924 ]
7dac31838b627748eb631ba05bd8dfe_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [34.98147  31.792149 20.       20.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.       13.439831 40.       20.       21.371824]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [20.629993 22.162134 20.       40.        9.890081]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [36.431423 32.227066 14.055104 40.       40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [20.119345 25.623266 20.       40.       10.156295]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [25.307281 31.852198 20.       20.       40.      ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [20.198353 19.319794  2.090812 22.200068 40.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [40.       20.07552  40.       20.       16.435757]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [13.878687  4.21975  20.       20.       40.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [22.799706  7.390133 15.077697 40.       40.      ]
216d910f71942f205df3c6413d40ccb2_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [17.933256 20.703733 40.       20.       20.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [25.231861 39.758583 16.019808 29.982954 32.194637]
1a64bf1e658652ddb11647ffa4306609_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [33.661354 29.557734 20.464931 20.       20.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [13.776515 31.213081 20.       40.       20.      ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [ 7.9163055  6.136609  40.        40.        36.15371  ]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       29.874395 40.       40.       38.191696]
2f7cf2c2d170e3c936f37029483b3e41_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [18.703407 24.275703 40.       20.       22.828678]
1a64bf1e658652ddb11647ffa4306609_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [28.16494  17.917723  8.197697 20.       20.      ]
6265f0745d3f40546bcd32c43682e841_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [16.541891  6.91202  20.       40.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [18.34235  12.744505 20.       40.       20.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [13.605279 28.731318 20.       40.       40.      ]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 1.175598 18.932838 40.       20.       31.846832]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.       16.800037 40.       20.       40.      ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [16.851177 19.586063 18.26656  19.152246 24.332706]
1a64bf1e658652ddb11647ffa4306609_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [25.971472 15.250135 10.102279 20.       20.      ]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       38.222935 20.       20.       19.747597]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [25.803797 15.360902 20.       40.       16.255108]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40. 20. 40. 20. 20.]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [18.70898  18.363762 40.       40.       10.923577]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [12.700787  9.672263 40.       40.       20.      ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [36.236874 21.126667 42.231415 45.49003  20.443521]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [12.304004 27.195267 20.       20.       40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [ 8.309598   3.5187027 40.        20.        20.       ]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       29.373363 40.       32.79494  26.4322  ]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [32.265717 10.333922 25.458576 31.435604 34.822075]
825fb860d71c78a477c771b4b7eed82c_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [22.854273 11.067833 20.       20.       20.      ]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [ 1.4817493 19.261408  20.        20.        20.       ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [25.421955 18.030619 40.       20.       32.518017]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [40. 20. 20. 20. 40.]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [22.027954   6.737646   0.7056204 21.543825  40.       ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [21.831972  9.503138 40.       20.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.      15.06377 40.      40.      20.     ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [35.94047  25.988169 13.248386 34.94679  40.      ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [11.392243  6.20951  20.       21.520128 20.      ]
4458ed2a746e61a3b11647ffa4306609_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [15.906726 39.057213 40.       20.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [ 0.9788592 18.89561   40.        20.        40.       ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [40. 20. 40. 20. 20.]
216d910f71942f205df3c6413d40ccb2_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [ 7.5839396 17.197456  20.        20.        40.       ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [ 8.293132   1.7546608 20.        20.        40.       ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       39.67275  20.       25.509296 37.022797]
1a64bf1e658652ddb11647ffa4306609_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [20.         5.0490804 20.        20.        14.107239 ]
9c827e532de4967285089a13cc567dbd_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       36.110504 20.       20.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.         3.8256142 20.        40.        40.       ]
d72ffa185738bccd10b75223b5be6dbb_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [27.728155 30.265171 20.       40.       20.      ]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [30.114037 25.778872 20.       20.       20.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       31.952423 40.       20.       40.70083 ]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [12.976615  9.748226  4.384107 28.7338   20.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.         3.3487747 40.        20.        15.217679 ]
c61ec8875746ab78227375499b768057_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [25.201456 22.756023 20.       20.       22.978052]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [11.422074 11.296576 40.       20.       40.      ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [25.256521 40.184544 20.       40.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [18.307594 12.669536 40.       20.       20.      ]
9d2b7938d426633b28044fe9244db50a_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [40. 40. 40. 40. 20.]
4ac021653126a29e98618a1ba17f086b_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [27.092556 25.491348 20.       40.       20.      ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [25.798643  2.431132 40.       40.       16.557491]
9d2b7938d426633b28044fe9244db50a_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [20. 40. 40. 20. 20.]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [24.051924 18.189352 40.       20.       20.      ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.       18.810692 20.       40.       40.      ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [11.983729   7.7409463 40.        20.        40.       ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [22.163233 10.849034 40.       40.       20.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [20.       22.131256 40.       20.       20.      ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [18.237837    0.86096084 40.         20.         40.        ]
425ba801e904cb50f3aaed7e86215c7b_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [11.151433   6.5183992 40.        20.        36.471394 ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       16.93656  20.       40.       16.542446]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [37.22011   27.827435  20.        20.         2.2504473]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [15.984548 12.379684 20.       20.       17.998768]
4458ed2a746e61a3b11647ffa4306609_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [13.392962 26.391169 40.       20.       20.      ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [32.386353 25.625399 10.495653 30.34969  21.45627 ]
cde88b5900e8dfba725a7749daae1afa_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [25.885572   5.4416127 40.        40.        20.       ]
9c827e532de4967285089a13cc567dbd_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.        5.143838 20.       40.       40.      ]
cde88b5900e8dfba725a7749daae1afa_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [21.571716 12.051777 40.       20.       40.      ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [19.05048   2.443745 20.       40.       40.      ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [ 4.559947   4.5101767 20.        40.        40.       ]
