70e27da90dec2de49604bf8c981ad1eb_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [33.386055   7.6558614 40.        40.        14.459921 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [22.68636   15.282183  12.351179   0.3202975 26.072094 ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [25.844473 25.845509 20.       40.       40.      ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [31.785662 41.362762 30.405334 40.       20.      ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.         3.2638786 40.        20.        11.191531 ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       13.032571 20.       20.       40.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       28.670115 20.       40.       38.958206]
9d2b7938d426633b28044fe9244db50a_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [20. 20. 20. 40. 20.]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [ 7.650637   1.0614296 40.        40.        40.       ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [28.918468 34.87521  20.       40.       40.      ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.        7.482709 40.       16.099443 23.919992]
9d2b7938d426633b28044fe9244db50a_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [40. 40. 20. 40. 40.]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [30.967054 20.       20.       20.       34.0584  ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.          9.346657   40.         40.          0.85852784]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [17.231207   3.1338668 20.        40.        40.       ]
fabcb04fc015f822ca8bf2993ca245b_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [20.        9.618279 28.726404 10.927903 20.      ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.      40.      40.      40.      46.12252]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [19.994436 23.624416 40.       40.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.         5.9269915 40.        20.        40.       ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [11.095296 11.588345 20.       40.       20.      ]
1a64bf1e658652ddb11647ffa4306609_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       18.094093 20.       16.001291 26.479757]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.          0.24158654 40.         20.          7.910209  ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.         6.9320984 40.         4.338074   9.3712845]
fabcb04fc015f822ca8bf2993ca245b_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [19.430649 21.996664 12.974667 19.215641 25.94677 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       20.       20.       20.       34.826866]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       24.731028 20.        8.024881 34.696514]
d72ffa185738bccd10b75223b5be6dbb_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [ 2.5973167  2.2734194 40.        40.        40.       ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       10.290643 20.        4.938375 38.95592 ]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 6.95186  23.92054  40.       40.       36.850975]
4ac021653126a29e98618a1ba17f086b_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [29.598822 33.0363   40.       40.       40.      ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.       20.       40.       20.       44.365005]
4ac021653126a29e98618a1ba17f086b_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [12.768525 34.026527 40.       20.       27.084862]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       28.395866 40.       40.       31.646763]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40. 40. 40. 20. 40.]
5ec3322293a39816ad7e7cea4034d226_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [39.56899  25.371355 20.       40.       20.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [10.215741  7.453655 20.       20.       13.77328 ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [18.503466   7.0403256 40.        40.        40.       ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       27.688465 20.       20.       20.      ]
9c827e532de4967285089a13cc567dbd_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [16.517555 32.445618 20.       40.       20.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [25.78231  32.560875 40.       20.       40.      ]
4ac021653126a29e98618a1ba17f086b_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       30.638506 20.       20.       40.56026 ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [14.96455   27.70202   16.601545   7.8998604 17.381063 ]
216d910f71942f205df3c6413d40ccb2_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [17.24591  10.700309 40.       20.       20.      ]
1790131f5f74b1ed973aff268eb6b00c_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [18.511278  13.305744  20.         2.2330856 40.       ]
cde88b5900e8dfba725a7749daae1afa_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.      24.23921 20.      40.      20.     ]
9c827e532de4967285089a13cc567dbd_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.      32.73057 20.      20.      20.     ]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [ 1.6453663  3.2593658  8.786609   2.384383  40.204597 ]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [14.114867  7.111397 20.       20.       20.      ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [17.50959   7.205978 20.       40.       43.669918]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [17.455082 14.11861  40.       40.       20.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [24.69739   14.7044325 40.        40.        40.       ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [17.262184 19.600954 26.357817 13.160203 40.      ]
c61ec8875746ab78227375499b768057_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       11.975119 40.       40.       29.975166]
4458ed2a746e61a3b11647ffa4306609_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [21.648008 16.281721 40.       40.       40.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [27.443884 30.386957 20.       40.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [30.015923 32.38456  20.       20.       20.      ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [26.489443 32.08268  29.164925 20.       40.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [13.743128  9.215548 20.       40.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [36.006233 38.78808  13.389051 16.222153 13.6596  ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.         2.7111995 20.        40.        43.21477  ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [18.07498   16.932365   7.0348463 14.7178755  6.5691633]
7dac31838b627748eb631ba05bd8dfe_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [20.        8.361919 20.       20.       40.      ]
6265f0745d3f40546bcd32c43682e841_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [12.942217   2.1559556 20.        20.        40.       ]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       32.9181   40.       13.656214 20.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [29.418978 32.08542  40.       20.       40.      ]
c61ec8875746ab78227375499b768057_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [29.775099 25.217787 40.       20.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [ 4.748044  6.941979 40.       20.       40.      ]
a88d69e53a01aab9ff1370452e3a0154_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [36.553677 40.8346   29.142282 40.       40.      ]
6265f0745d3f40546bcd32c43682e841_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       30.049074 40.       40.       40.      ]
216d910f71942f205df3c6413d40ccb2_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [26.475063 21.88002  40.       40.       20.      ]
a387407d49e209fdeea60824a43a0b_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [25.627388  18.842045   5.550715   2.0282407 15.9031   ]
d0cf2f187acda5736be7348aa770e4ca_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 3.802389  10.452628   8.162359   7.4431953 20.       ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [17.997185   3.9367778 25.148226   3.9989786 16.0951   ]
cde88b5900e8dfba725a7749daae1afa_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [18.982443 11.160077 20.       40.       40.      ]
a88d69e53a01aab9ff1370452e3a0154_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [20.        7.343996 20.       14.588525  5.865022]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [28.762451  30.268204  17.326193  11.114051   6.9961314]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [19.763033 20.313803 40.       20.       40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [16.205801    0.76817787 20.         40.         20.        ]
9d2b7938d426633b28044fe9244db50a_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [40. 20. 20. 20. 40.]
cde88b5900e8dfba725a7749daae1afa_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [12.434071 10.373257 20.       20.       20.      ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       29.007004 40.       40.       20.      ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       10.906686 20.       20.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [14.917421   0.8552908 20.        40.        40.       ]
c61ec8875746ab78227375499b768057_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 8.086492 22.10259  40.       40.       21.321102]
4ac021653126a29e98618a1ba17f086b_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [30.405914 33.39008  40.       40.       20.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [ 6.1019177 15.090314  20.        20.        40.       ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [16.217588   7.708034  20.         2.2015145 40.       ]
6265f0745d3f40546bcd32c43682e841_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.         1.7641493 40.        20.        20.       ]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [28.164057 39.185287 20.01422  20.       20.      ]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [28.044167 26.06301  21.096056 32.81291  20.      ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.         9.386222  40.        20.         2.0962374]
1790131f5f74b1ed973aff268eb6b00c_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       16.071405 20.       40.       20.      ]
4ac021653126a29e98618a1ba17f086b_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       19.757008 40.       40.       27.936369]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       31.052498 40.       40.       15.688146]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       24.170492 40.       40.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [22.071545  4.679324 20.       20.       40.      ]
d0cf2f187acda5736be7348aa770e4ca_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [29.185062 26.339874 14.343179 28.307898 20.      ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [20.836714 29.221167 14.75374  27.32841   6.096738]
cde88b5900e8dfba725a7749daae1afa_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [27.842934 31.684378 40.       40.       20.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [13.231634  14.482624  40.        40.         3.9537804]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [30.018822  38.07708   17.453371   6.771751  15.7557535]
4458ed2a746e61a3b11647ffa4306609_20_40_20_40_20_240_40_400:gt ['20', '40', '20', '40', '20']:pred [20.       13.799321 20.       40.       20.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       28.708145 40.       20.       32.349033]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [15.392757  9.037225 20.       40.       40.      ]
c61ec8875746ab78227375499b768057_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [22.69844 10.64276 20.      20.      40.     ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [12.695109 11.420845 20.       20.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [25.219345 27.662722 23.007563 28.740974 20.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       31.233746 40.       40.       40.      ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [26.577206 29.169968 26.78703  40.       20.      ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [30.576447 13.868336 16.211367 28.003658 28.823896]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         2.1368628 20.        20.        22.162579 ]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.        6.478197 20.       40.       35.64212 ]
9d2b7938d426633b28044fe9244db50a_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [40. 40. 20. 40. 40.]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.         1.1697229 40.        20.        28.54387  ]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         3.6421075 20.        20.        30.005028 ]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [10.426342  26.450932   3.8712573  7.288121  34.993298 ]
1a64bf1e658652ddb11647ffa4306609_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [29.986067 27.448154 16.858295 40.       40.      ]
cde88b5900e8dfba725a7749daae1afa_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [10.729224  9.243599 20.       20.       40.      ]
12f2905dc029f59a2479fbc7da5ed22b_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [16.433472 28.179674 40.       20.       40.      ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [29.239992 17.690477 40.       20.       20.      ]
216d910f71942f205df3c6413d40ccb2_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [40.      27.28496 20.      40.      40.     ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       26.432673 20.       40.       20.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 3.4712431  1.3750811 40.        40.        40.       ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [18.567217  16.500792  11.802445   8.25325    6.4423823]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.        13.07331   40.         3.4935613  5.7078133]
4ac021653126a29e98618a1ba17f086b_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [21.989235 23.914803 40.       20.       40.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.        11.888617  40.        40.         2.2021527]
6265f0745d3f40546bcd32c43682e841_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.       12.313946 40.       40.       20.      ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       21.608604 40.       11.101767 35.43574 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [16.046867  21.024239  20.        20.         2.2720263]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [ 5.2065787  0.7531164 20.        40.        20.       ]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [11.556549   2.522295   5.0177975  1.450684  26.550425 ]
d72ffa185738bccd10b75223b5be6dbb_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [15.1049795  1.9428036 40.        20.        40.       ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [20.084633  25.424923   6.920523   3.4511147 26.721018 ]
923007b377bb1cab473f10e6caaeca56_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       26.264702 20.       40.       20.      ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [19.181847  5.758812 20.       40.       20.242958]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [26.027515 20.       20.       20.       32.950462]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       28.807903 20.        7.686125 33.963074]
6265f0745d3f40546bcd32c43682e841_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [18.06373    3.8967614 40.        20.        20.       ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.        9.92399  20.       10.838328 17.969728]
c4941d6a2266813c3a2b1a2e5e169910_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.        11.439849  20.        20.         6.0837803]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [26.382837 16.150608 20.       40.       20.      ]
1a64bf1e658652ddb11647ffa4306609_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.        14.852706  40.         7.22425    1.0536244]
1790131f5f74b1ed973aff268eb6b00c_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [15.103864    5.974568   20.          0.90835464 40.        ]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [20.         4.7439666 40.        20.        20.       ]
923007b377bb1cab473f10e6caaeca56_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.       12.986013 40.       20.       40.      ]
9d2b7938d426633b28044fe9244db50a_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [40. 40. 40. 20. 20.]
7dac31838b627748eb631ba05bd8dfe_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [10.750974 30.543419 20.       40.       40.      ]
1790131f5f74b1ed973aff268eb6b00c_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       15.731136 20.       20.       20.      ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [ 4.082606   5.8701563 40.        40.        36.39664  ]
4458ed2a746e61a3b11647ffa4306609_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [32.242466 19.053072 40.       40.       20.      ]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [ 7.8181214  3.583699  20.        20.        46.324112 ]
4ac021653126a29e98618a1ba17f086b_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.       19.325312 20.       40.       36.64129 ]
a387407d49e209fdeea60824a43a0b_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       19.017069 40.       11.79962  42.41838 ]
5ec3322293a39816ad7e7cea4034d226_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [15.855553 31.02401  20.       40.       23.481325]
5ec3322293a39816ad7e7cea4034d226_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       31.260946 40.       40.       33.012375]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [17.950792  2.302754 20.       40.       40.      ]
5ec3322293a39816ad7e7cea4034d226_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.        4.935532 40.       40.       20.36825 ]
923007b377bb1cab473f10e6caaeca56_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [14.866309 13.286487 40.       20.       20.      ]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       25.241074 40.       10.493078 29.78068 ]
a387407d49e209fdeea60824a43a0b_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [34.33466  30.423506 24.765753 37.55182  20.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       23.357162 20.       20.       26.91213 ]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [16.431374   5.8470225  9.8166895  2.1257503 20.       ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       23.393108 20.       40.       31.544212]
1790131f5f74b1ed973aff268eb6b00c_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       16.824883 20.       20.       40.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.        2.403446 40.       20.       10.739228]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [21.465345 17.27072  20.       20.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.          6.2425885  40.         40.          0.48057732]
