72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [20.350142 13.29652  41.6518   27.796968 45.43686 ]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [33.79624  20.729118 15.564927 34.7789   33.41008 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [20.3144     6.8026457 24.64531   27.420923  14.2924   ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [22.763515   7.1307206 14.511715  27.747911  45.08893  ]
a88d69e53a01aab9ff1370452e3a0154_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [23.990952  20.199705  14.670891   6.3262224 20.17071  ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [26.442812   8.753616   2.5283985 42.37355    2.5760944]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [ 6.887365  11.811519  10.9989605 23.75862   42.651577 ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [14.7305565 23.611254   7.9003716  6.6696744 13.984821 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [24.535538 17.589304 18.26232  22.902973 34.195786]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [30.53547  16.52138   8.425071 14.537043  5.923768]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [31.775505 15.42009  16.939123 17.684717 33.671432]
4f17af1ca7ae689d409b2c4484d833cc_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [13.871506 11.66118  22.184488 47.118065 34.296577]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [19.22987  22.504723 28.126587 42.670963 45.07421 ]
12f2905dc029f59a2479fbc7da5ed22b_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [45.29981   17.843542   2.0393515 12.57856   40.46195  ]
7dac31838b627748eb631ba05bd8dfe_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [27.653017  15.624758   9.964868   3.8258631  3.7671962]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [17.723312   5.4404564 14.706123  35.71912   47.29921  ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [10.665809 14.332257 33.01125  22.055613 13.935583]
a387407d49e209fdeea60824a43a0b_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [19.78645  11.846701 23.702574 24.671917 34.302643]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [15.774538   5.3122735 22.601892  49.430206  43.358067 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.555035  9.55561  36.45891  15.50641  24.324577]
6265f0745d3f40546bcd32c43682e841_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [ 7.08938  24.054321 24.614649 42.0749   37.131878]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [12.080756  6.914016 26.251347 16.776398 35.758785]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [19.666952   5.6626368 18.703415  16.189785  14.753288 ]
a115d534edec6f89afe1d4530f4c6e24_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [27.916033   2.5250347 28.90596   34.589863   3.2264667]
1a64bf1e658652ddb11647ffa4306609_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [31.107544  19.017439   3.3630843 29.738142  15.5433655]
7dac31838b627748eb631ba05bd8dfe_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [13.101858 17.286367 36.876186 15.009288 31.691154]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [22.997086 31.225494 31.810844 26.08332  40.568237]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [14.307989 38.69491  16.736109 18.177124 36.96759 ]
9d2b7938d426633b28044fe9244db50a_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [16.482998  9.074618 43.154873 22.871967 12.382995]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [32.060883  11.271891   3.6570153 21.518284   6.1029906]
1a64bf1e658652ddb11647ffa4306609_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [35.456745  8.743566 25.823296 18.56772  36.233154]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [27.258923  19.709059  35.65319    7.6018085 32.063305 ]
12f2905dc029f59a2479fbc7da5ed22b_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [14.397958   6.8051076 13.377782  20.306158  53.09629  ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [18.024042  9.153427 15.753767 20.027214 14.216615]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 8.6139965 11.172047   6.3901477  5.053559  31.398771 ]
4ac021653126a29e98618a1ba17f086b_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [21.882504   5.394207   4.8756723  1.6856973 26.219744 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [30.17935    8.5055485  8.35527   19.827457  34.9452   ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [33.12809  15.806726 12.795147 23.929523 34.66469 ]
c61ec8875746ab78227375499b768057_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [22.370905 12.983222 11.640359 48.186546 41.17819 ]
a88d69e53a01aab9ff1370452e3a0154_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [ 8.153777  8.228362 14.189117  3.256529 12.311518]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [28.470055 21.933397  3.115763 39.58869  20.928926]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [35.46599   13.163983   4.9400625 19.065493  14.066648 ]
a115d534edec6f89afe1d4530f4c6e24_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [31.734041  12.084703   1.3151911  5.164277  41.864986 ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [36.90111  18.383678 37.364746 21.028244 32.245224]
425ba801e904cb50f3aaed7e86215c7b_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [ 8.301262   2.5809236 33.352135  45.726772  15.089973 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [23.482977 16.1128   30.05738  44.513958 38.439327]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [27.39963  18.546316 26.748634 25.00521  40.430862]
9d2b7938d426633b28044fe9244db50a_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [15.900972   7.9878125 15.022994  19.366415  11.497847 ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [24.336048  17.08575   20.32104    2.6969259 22.983046 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [29.232826 12.43635  24.00754  16.58073  48.022736]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [24.978584   5.6988993 13.984061  19.529892  47.483486 ]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [31.365501 11.235089 10.202285 13.743082  3.721985]
5ec3322293a39816ad7e7cea4034d226_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [19.022198 12.324151  5.856764 19.01371  25.150377]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [39.010563  7.137505 48.303177 19.54529  39.28698 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [ 7.8280644  4.727162  11.797212  27.457367  45.130493 ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [11.917269   5.5683384  5.8837585  1.4980367 33.85892  ]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [43.99518   13.1720295  1.4443002  8.368686  40.44409  ]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [14.80167   25.003431   1.3629737  5.23425   31.842688 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [20.756435 12.387104 10.168945 16.528915  8.150632]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [14.130299  9.986567 13.708703 38.65562  23.80713 ]
6265f0745d3f40546bcd32c43682e841_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [14.777079  16.727238   7.1793375  2.0758295 34.173058 ]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [19.54731    6.1476336 23.947395  18.841135  10.069639 ]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [ 5.77989   5.775299  8.855155 13.255359 14.516505]
a387407d49e209fdeea60824a43a0b_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [13.64009   2.677105 22.53889  29.362123  7.261037]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [13.095117 11.538298 22.374311 47.29237  34.02453 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [25.194927  12.405612  24.543987   6.3553104 31.442692 ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [19.490715   2.0994415  5.598802  10.421607  45.651386 ]
4ac021653126a29e98618a1ba17f086b_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [24.919016  15.390023   8.625576   6.2578998 36.97458  ]
a387407d49e209fdeea60824a43a0b_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [17.020641 12.181298 15.701124 24.862564 34.514763]
c61ec8875746ab78227375499b768057_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [17.34327   6.405505 14.020564 25.965942 39.209263]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [13.659233    9.485685    0.86189157  5.954074   40.79767   ]
923007b377bb1cab473f10e6caaeca56_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [10.309394   10.823639    6.407126    0.78600216  5.5600553 ]
1790131f5f74b1ed973aff268eb6b00c_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [28.554228  8.633496  5.645186 28.784756 25.052671]
fabcb04fc015f822ca8bf2993ca245b_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [17.009201  2.384178 37.682014 48.298244 49.223648]
4ac021653126a29e98618a1ba17f086b_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [24.6058    9.916284 34.22313  12.706276 44.12193 ]
d0cf2f187acda5736be7348aa770e4ca_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [29.83418    1.7107397  6.9264736  6.3731985  2.6002684]
cde88b5900e8dfba725a7749daae1afa_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [25.187433 11.683059 22.69149  15.255872 26.632738]
1a64bf1e658652ddb11647ffa4306609_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [36.152805  8.504664 35.703247 27.509436 37.196808]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [17.39843    4.367191   7.1444893 34.070908  24.129486 ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [26.958551   2.9409966  3.440476   4.681857  37.9987   ]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [22.297836  8.422544 19.195349 44.000076 40.493374]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [20.896547   0.9513411 26.353954  28.30707   28.03989  ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [32.70537   17.960718  16.104582  15.3650255 32.1796   ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [27.34676  18.81882  23.350449 26.018017 35.08108 ]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [ 8.386724   3.5235841 12.729156  17.30533   21.253635 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [ 8.25404  28.08868  12.103984 27.628801 36.49799 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [29.972746 30.76617  22.487343 34.707806 40.23815 ]
6265f0745d3f40546bcd32c43682e841_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [13.742257  16.338236   7.6883383  2.4564657 36.50013  ]
6265f0745d3f40546bcd32c43682e841_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [29.34957  11.972405 28.939436 14.602667 53.293564]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [15.552841   3.1599288 12.121854  11.350906  27.160908 ]
12f2905dc029f59a2479fbc7da5ed22b_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [11.138309 17.531713 10.326177 13.344578 24.028559]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [12.33732   20.893555   7.118887  10.081899   2.2585576]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [15.420762 27.42377  11.805486 25.406721 45.524193]
4ac021653126a29e98618a1ba17f086b_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [26.158789  15.615263   8.22756    6.4139266 36.66149  ]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [15.997007 14.441113 35.06959  35.587036 44.223835]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [24.779814 12.869045  9.304753 22.528967 29.466908]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [20.778828   2.72156    5.9549303  7.2191963 39.58152  ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [16.139673 22.589516 43.41118  26.67765  48.509052]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [21.223555 23.752678 14.321018 32.729843 30.12644 ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [27.369133   5.5177975  3.878296   6.9402976 26.227283 ]
cde88b5900e8dfba725a7749daae1afa_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [24.494831 11.689157 14.665097 36.2289   35.28825 ]
4ac021653126a29e98618a1ba17f086b_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [24.342716   5.816699  12.850777   4.9398665 22.85211  ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [20.937876  25.742134  14.322749   8.412069   7.5969234]
4f17af1ca7ae689d409b2c4484d833cc_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [31.671925   3.4224312 10.516294  20.470318  22.371323 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [31.520952  9.326547 17.288507 24.501484 44.071327]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [36.782623 11.252715 19.014765 17.73339  32.13135 ]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [12.428056    0.14648184 21.359653    7.152462   21.0036    ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [14.164004  9.782199  5.891622 24.587515 37.209812]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [27.594095  8.735268 30.329287  6.482763 38.56627 ]
a88d69e53a01aab9ff1370452e3a0154_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [22.536348  22.485493  14.2897415  6.278247  24.849062 ]
d72ffa185738bccd10b75223b5be6dbb_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [15.836134  2.035348  7.430777 17.523079 21.992218]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [35.335854 22.984278 32.77258  54.223297 42.693317]
216d910f71942f205df3c6413d40ccb2_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.708225 13.054427 25.898455 36.924866 13.895417]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [25.96329  22.00133  17.30389  20.698448 33.845207]
4458ed2a746e61a3b11647ffa4306609_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [ 9.78594   24.86881    3.4629617  3.9495738 11.023473 ]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [26.918793   3.6849747 19.352436  24.624084   5.401062 ]
4458ed2a746e61a3b11647ffa4306609_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [ 9.595434  24.62512    3.440416   3.7801995 10.953722 ]
923007b377bb1cab473f10e6caaeca56_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [10.637827  22.064371   5.1950393 16.14062    5.3703194]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [32.08448   9.850759 23.162914 10.668591 18.281082]
923007b377bb1cab473f10e6caaeca56_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [17.223888 32.569363 18.832012 25.313738 33.470867]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [40.867027  9.221391 45.881542 17.788551 32.956905]
825fb860d71c78a477c771b4b7eed82c_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [40.48704    1.5968678  6.8027544  3.1236703 34.834446 ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [22.330662 19.011482 15.222777 39.588474 34.20432 ]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [11.67893   15.894928   4.037379  20.64068    7.1916857]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [22.73379    5.8107796 18.369995  32.024487  27.985504 ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [11.140472  9.225352 16.381437 29.749826 18.018152]
d0cf2f187acda5736be7348aa770e4ca_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 9.550467  9.606991 16.965836 11.278394 36.619568]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [21.4727   12.650979 14.340118 31.898815 32.410435]
d72ffa185738bccd10b75223b5be6dbb_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [36.225815 18.42894  19.790054 38.859818 49.023396]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [23.24418   27.072008   2.6711218 43.52071   30.15907  ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [37.30586  13.18516  40.97776  32.816566 30.664917]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [14.636032   3.8632593  6.844924  10.31481   32.976162 ]
7dac31838b627748eb631ba05bd8dfe_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [25.58785   8.558727  2.665667 10.183189 10.219441]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [12.501261 23.503805  7.106851 16.163847 43.558014]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [21.991743 10.66934  10.107417 13.663791 42.07947 ]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [23.812101 25.224405 18.444145 19.122965 44.58277 ]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [ 7.076446  15.473328   7.7005577 12.082497  35.21466  ]
4458ed2a746e61a3b11647ffa4306609_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [ 8.35533   27.95042    2.6832204  3.297113  12.540628 ]
9c827e532de4967285089a13cc567dbd_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [15.856964 22.187304  8.157263 38.80278  45.09765 ]
923007b377bb1cab473f10e6caaeca56_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [24.72056    6.1311197  2.979338  17.589897  23.480896 ]
cde88b5900e8dfba725a7749daae1afa_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [15.031099 13.638351  9.303433  9.19203  54.260414]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [22.307837   5.1281223 44.60057   15.152462  35.920994 ]
923007b377bb1cab473f10e6caaeca56_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [20.428638   2.9353387  3.74294   12.46879   18.433197 ]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [13.189082  5.719269  7.595603 36.86224  11.835793]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [22.502277 26.024166 13.497271  7.858908 20.850487]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [29.907774  6.681073 33.784992 28.366425 34.660645]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [29.664799   5.113367   7.7563324  5.688788  17.363924 ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [10.979588 15.988478  4.478594 18.537268 29.30796 ]
6265f0745d3f40546bcd32c43682e841_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [11.526433  2.547423  9.205641 10.403994 25.318571]
4f17af1ca7ae689d409b2c4484d833cc_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [21.1202    9.865215 28.538982 20.223246 46.771046]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [ 7.7140894  9.479753  33.745834  22.348011  40.82361  ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [23.425833   5.8365164 12.471849  13.722521  21.5286   ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [19.978043 12.684841 40.394295 32.62513  46.267593]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [32.40014  17.074627 13.223399 32.47331  43.38214 ]
cde88b5900e8dfba725a7749daae1afa_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [27.775667 17.091127 13.295156 13.646593 53.550056]
5ec3322293a39816ad7e7cea4034d226_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [11.404705  6.570857 32.94987   5.233458 32.545746]
70e27da90dec2de49604bf8c981ad1eb_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [34.76964   13.773592  13.571523   3.7131464 23.05372  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [20.043018 11.180878 29.436232 13.167546 38.454906]
