sedan4door_-30_15_-4_48_46_230_70_420:gt ['-30', '15', '-4', '48', '46']:pred [26.375069 15.676088 20.162632 40.890896  9.895099]
sedan2door_-30_15_-4_48_15_140_30_420:gt ['-30', '15', '-4', '48', '15']:pred [30.         6.3677235  4.        48.        15.       ]
hybrid_-30_23_-22_10_46_230_70_420:gt ['-30', '23', '-22', '10', '46']:pred [24.974918 17.352587 22.       10.       26.121714]
sedan2door_-17_23_-4_10_15_230_70_420:gt ['-17', '23', '-4', '10', '15']:pred [ 5.607938  16.901      4.        10.         3.2919998]
hybrid_-17_45_-4_35_46_140_30_420:gt ['-17', '45', '-4', '35', '46']:pred [17.       25.212317  4.       35.       46.      ]
suv_-30_45_-4_10_46_50_30_420:gt ['-30', '45', '-4', '10', '46']:pred [36.320206 45.        4.028324 10.       46.      ]
hatchback_-17_15_-22_35_15_50_70_420:gt ['-17', '15', '-22', '35', '15']:pred [12.476206 12.048933 29.415575 22.82703   4.040322]
sedan2door_-50_15_-36_10_15_20_70_420:gt ['-50', '15', '-36', '10', '15']:pred [32.539814   3.9688468 36.        10.        10.705657 ]
hatchback_-30_15_-36_10_46_140_30_420:gt ['-30', '15', '-36', '10', '46']:pred [30.        4.39698  36.       11.592282 46.      ]
suv_-30_23_-4_10_15_140_70_420:gt ['-30', '23', '-4', '10', '15']:pred [24.612135  21.672976   4.        12.017868   5.1262937]
hybrid_-17_15_-22_10_46_50_30_420:gt ['-17', '15', '-22', '10', '46']:pred [15.763262 15.       22.       10.       46.      ]
sedan2door_-17_15_-36_35_46_230_70_420:gt ['-17', '15', '-36', '35', '46']:pred [ 4.4354086  8.132864   8.816012  35.        12.821914 ]
sedan4door_-50_45_-4_48_28_20_70_420:gt ['-50', '45', '-4', '48', '28']:pred [36.850754 38.950806 15.379797 48.       10.763256]
suv_-50_23_-36_35_46_50_30_420:gt ['-50', '23', '-36', '35', '46']:pred [40.132195 23.       43.538887 35.       46.      ]
sedan4door_-30_45_-22_35_28_20_70_420:gt ['-30', '45', '-22', '35', '28']:pred [27.81814  37.45745  21.408817 35.05646  10.397397]
suv_-30_15_-36_48_15_140_30_420:gt ['-30', '15', '-36', '48', '15']:pred [30.        5.460244 36.       46.391975 15.      ]
hatchback_-50_23_-36_35_15_20_30_420:gt ['-50', '23', '-36', '35', '15']:pred [35.911186  23.        34.88593   35.         6.7231336]
hatchback_-17_23_-36_48_28_50_30_420:gt ['-17', '23', '-36', '48', '28']:pred [16.667307 23.       45.10264  48.       28.      ]
hybrid_-17_15_-36_48_15_230_30_420:gt ['-17', '15', '-36', '48', '15']:pred [17.         3.0347476 36.        48.         2.0948787]
hybrid_-30_23_-36_35_15_140_30_420:gt ['-30', '23', '-36', '35', '15']:pred [30.       10.612245 36.       35.       15.      ]
hybrid_-30_45_-4_48_46_20_70_420:gt ['-30', '45', '-4', '48', '46']:pred [23.916965 25.528202  4.       48.       29.169119]
hybrid_-30_45_-36_48_28_50_70_420:gt ['-30', '45', '-36', '48', '28']:pred [33.67719  42.406273 36.       48.       20.408207]
hybrid_-50_23_-36_10_15_50_30_420:gt ['-50', '23', '-36', '10', '15']:pred [48.717373 23.       36.       10.       15.      ]
sedan4door_-17_15_-4_10_46_50_30_420:gt ['-17', '15', '-4', '10', '46']:pred [13.485407 15.       10.122124 10.       46.      ]
sedan2door_-30_45_-4_35_28_20_70_420:gt ['-30', '45', '-4', '35', '28']:pred [36.42097 32.72154  4.      35.       9.64589]
hatchback_-17_23_-22_10_46_230_70_420:gt ['-17', '23', '-22', '10', '46']:pred [12.128564 25.96131  29.54915  18.69216  24.330853]
suv_-30_23_-22_35_15_230_70_420:gt ['-30', '23', '-22', '35', '15']:pred [22.541128  17.849297  27.014042  27.99578    2.3259728]
sedan4door_-50_15_-22_10_28_230_70_420:gt ['-50', '15', '-22', '10', '28']:pred [36.36795   10.514964  32.1518     8.284792   5.8008695]
hybrid_-50_15_-4_48_46_20_30_420:gt ['-50', '15', '-4', '48', '46']:pred [33.753952 15.        4.       48.       23.117393]
sedan4door_-30_15_-36_48_15_230_70_420:gt ['-30', '15', '-36', '48', '15']:pred [25.725418  22.152     41.596226  46.060856   4.2796803]
hybrid_-30_45_-22_10_46_230_30_420:gt ['-30', '45', '-22', '10', '46']:pred [30.       20.943293 22.       10.       41.089657]
suv_-50_23_-4_48_15_230_70_420:gt ['-50', '23', '-4', '48', '15']:pred [35.00602   16.196493  15.985036  31.157423   3.9234521]
hatchback_-17_45_-36_10_46_140_30_420:gt ['-17', '45', '-36', '10', '46']:pred [17.       19.389812 36.       11.997169 46.      ]
hybrid_-17_23_-22_48_46_50_30_420:gt ['-17', '23', '-22', '48', '46']:pred [15.948193 23.       22.       48.       46.      ]
sedan4door_-30_23_-22_48_46_140_70_420:gt ['-30', '23', '-22', '48', '46']:pred [20.863264 19.723446 22.       42.064407 18.316107]
hatchback_-17_45_-22_35_28_50_30_420:gt ['-17', '45', '-22', '35', '28']:pred [16.608566 45.       38.005497 35.       28.      ]
sedan2door_-30_23_-4_48_46_140_70_420:gt ['-30', '23', '-4', '48', '46']:pred [16.369345 25.335087  4.       14.584152 22.394997]
sedan4door_-30_45_-22_10_15_230_30_420:gt ['-30', '45', '-22', '10', '15']:pred [30.        30.472935  22.         9.102572  11.1349125]
sedan4door_-30_23_-22_35_28_230_70_420:gt ['-30', '23', '-22', '35', '28']:pred [19.046776  18.888718  36.388767  32.856735   7.2278104]
hybrid_-30_45_-22_48_28_140_70_420:gt ['-30', '45', '-22', '48', '28']:pred [17.820877  41.48726   22.        48.         6.3338885]
sedan2door_-30_45_-4_35_28_50_30_420:gt ['-30', '45', '-4', '35', '28']:pred [41.73717 45.       4.      35.      28.     ]
suv_-30_15_-4_48_46_20_30_420:gt ['-30', '15', '-4', '48', '46']:pred [34.555733 15.        7.043868 48.       27.089102]
suv_-30_45_-22_10_46_140_30_420:gt ['-30', '45', '-22', '10', '46']:pred [30.        20.972729  22.         5.6578197 46.       ]
hybrid_-30_15_-4_35_28_230_30_420:gt ['-30', '15', '-4', '35', '28']:pred [30.         2.9435651  4.        35.        10.187659 ]
sedan2door_-30_15_-22_35_15_230_30_420:gt ['-30', '15', '-22', '35', '15']:pred [30.        4.398331 22.       35.        5.323818]
hatchback_-30_23_-36_35_28_230_30_420:gt ['-30', '23', '-36', '35', '28']:pred [30.         6.7353315 36.        41.953117  14.2773695]
hybrid_-30_23_-4_10_15_50_70_420:gt ['-30', '23', '-4', '10', '15']:pred [35.8801   27.258142  4.       10.       10.255045]
sedan4door_-17_45_-22_35_46_140_30_420:gt ['-17', '45', '-22', '35', '46']:pred [17.       29.135805 22.       39.947887 46.      ]
hatchback_-50_15_-22_35_15_20_70_420:gt ['-50', '15', '-22', '35', '15']:pred [35.54412   6.018779 39.49943  27.442644 18.437603]
sedan2door_-50_15_-22_10_15_50_70_420:gt ['-50', '15', '-22', '10', '15']:pred [44.359207  8.250308 19.770468 10.       15.849159]
hatchback_-17_45_-36_10_46_20_70_420:gt ['-17', '45', '-36', '10', '46']:pred [13.555889 24.487753 33.74548  10.       33.663918]
sedan4door_-50_45_-22_35_46_50_30_420:gt ['-50', '45', '-22', '35', '46']:pred [38.985672 45.       39.687622 35.       46.      ]
sedan4door_-30_15_-22_48_15_230_30_420:gt ['-30', '15', '-22', '48', '15']:pred [30.        8.23933  22.       41.288296 10.180635]
sedan2door_-17_15_-4_48_46_140_70_420:gt ['-17', '15', '-4', '48', '46']:pred [ 6.0438614  6.4868608  4.        10.588066  24.53648  ]
hybrid_-17_15_-22_35_46_140_70_420:gt ['-17', '15', '-22', '35', '46']:pred [12.075102  6.5404   22.       35.       26.736002]
sedan2door_-17_45_-36_35_15_20_30_420:gt ['-17', '45', '-36', '35', '15']:pred [17.391146  45.        36.        35.         4.8614902]
suv_-30_23_-22_35_46_140_70_420:gt ['-30', '23', '-22', '35', '46']:pred [21.044983 18.64352  19.608572 28.64545  27.849684]
hybrid_-17_45_-4_35_15_50_30_420:gt ['-17', '45', '-4', '35', '15']:pred [21.428326 45.        4.       35.       15.      ]
suv_-17_15_-36_10_28_230_30_420:gt ['-17', '15', '-36', '10', '28']:pred [17.         4.1472325 36.         2.4009302  8.446192 ]
hatchback_-50_23_-4_10_46_20_70_420:gt ['-50', '23', '-4', '10', '46']:pred [42.391106 12.432176 24.273506 10.       38.526463]
hybrid_-50_45_-4_10_46_20_70_420:gt ['-50', '45', '-4', '10', '46']:pred [36.655716 23.68422   4.       10.       29.17847 ]
hatchback_-17_23_-36_35_46_140_70_420:gt ['-17', '23', '-36', '35', '46']:pred [12.322638 12.413882 36.       26.0342   34.72876 ]
sedan2door_-17_15_-4_35_46_230_30_420:gt ['-17', '15', '-4', '35', '46']:pred [17.         6.3065715  4.        35.        18.097702 ]
sedan2door_-50_45_-22_35_28_50_70_420:gt ['-50', '45', '-22', '35', '28']:pred [44.13848  43.54915  21.41165  35.       15.633899]
suv_-17_45_-4_35_46_20_70_420:gt ['-17', '45', '-4', '35', '46']:pred [15.288436 25.882767 11.473965 35.09938  38.326767]
suv_-50_23_-36_48_15_20_70_420:gt ['-50', '23', '-36', '48', '15']:pred [32.830093  16.002434  41.29277   48.         8.1506605]
sedan4door_-30_45_-36_35_46_50_30_420:gt ['-30', '45', '-36', '35', '46']:pred [39.328285 45.       46.473442 35.       46.      ]
hybrid_-50_15_-36_48_15_20_70_420:gt ['-50', '15', '-36', '48', '15']:pred [35.606274   4.1113873 36.        48.         7.795827 ]
hatchback_-30_45_-4_35_46_50_30_420:gt ['-30', '45', '-4', '35', '46']:pred [34.485786 45.        6.9749   35.       46.      ]
sedan2door_-30_45_-22_10_46_20_30_420:gt ['-30', '45', '-22', '10', '46']:pred [33.71181  45.       22.       10.       24.233076]
sedan2door_-17_45_-36_10_28_20_30_420:gt ['-17', '45', '-36', '10', '28']:pred [20.114313 45.       36.       10.       11.766688]
hatchback_-17_45_-36_10_28_50_30_420:gt ['-17', '45', '-36', '10', '28']:pred [18.26006 45.      44.86201 10.      28.     ]
sedan2door_-30_23_-4_48_28_50_30_420:gt ['-30', '23', '-4', '48', '28']:pred [38.588776 23.        4.       48.       28.      ]
hybrid_-50_15_-36_10_28_20_30_420:gt ['-50', '15', '-36', '10', '28']:pred [36.308743 15.       36.       10.       15.60136 ]
hybrid_-17_23_-36_10_46_20_70_420:gt ['-17', '23', '-36', '10', '46']:pred [ 9.856845  7.977764 36.       10.       40.299267]
suv_-50_23_-4_10_28_230_30_420:gt ['-50', '23', '-4', '10', '28']:pred [50.         7.3194776  4.         2.5177727  8.325943 ]
sedan2door_-17_45_-4_48_28_230_70_420:gt ['-17', '45', '-4', '48', '28']:pred [ 6.540141  35.05175    4.        48.         3.3831894]
sedan4door_-30_15_-4_48_28_230_70_420:gt ['-30', '15', '-4', '48', '28']:pred [25.574478 15.579061 19.70782  43.559925  5.64958 ]
sedan4door_-50_23_-4_35_46_230_30_420:gt ['-50', '23', '-4', '35', '46']:pred [50.       17.327497  4.       32.19024  43.454174]
suv_-50_23_-4_35_15_20_70_420:gt ['-50', '23', '-4', '35', '15']:pred [37.025677  9.262293 14.390009 35.        9.989611]
hatchback_-17_15_-22_48_15_140_30_420:gt ['-17', '15', '-22', '48', '15']:pred [17.        8.650832 22.       48.386154 15.      ]
sedan4door_-17_45_-36_10_15_50_30_420:gt ['-17', '45', '-36', '10', '15']:pred [13.232771 45.       44.857933 10.       15.      ]
sedan4door_-50_15_-36_10_28_140_70_420:gt ['-50', '15', '-36', '10', '28']:pred [38.345337  9.626872 36.       12.121553 15.110031]
hatchback_-50_45_-4_48_28_50_70_420:gt ['-50', '45', '-4', '48', '28']:pred [43.891815 43.378887 20.4483   29.258352 15.501124]
suv_-17_15_-4_35_15_20_30_420:gt ['-17', '15', '-4', '35', '15']:pred [18.131466  15.         3.6324286 35.         9.392274 ]
sedan4door_-17_15_-36_10_46_230_30_420:gt ['-17', '15', '-36', '10', '46']:pred [17.        5.209472 36.        4.380052 36.16276 ]
hatchback_-50_45_-4_35_28_140_30_420:gt ['-50', '45', '-4', '35', '28']:pred [50.       20.654047  4.       45.397377 28.      ]
sedan4door_-30_45_-36_10_28_140_30_420:gt ['-30', '45', '-36', '10', '28']:pred [30.       37.377975 36.        8.35651  28.      ]
suv_-30_23_-22_10_28_50_30_420:gt ['-30', '23', '-22', '10', '28']:pred [37.781025 23.       35.529484 10.       28.      ]
hatchback_-30_45_-22_48_46_50_70_420:gt ['-30', '45', '-22', '48', '46']:pred [22.256012 45.68795  30.86315  29.076752 34.645634]
hybrid_-30_23_-36_35_28_140_70_420:gt ['-30', '23', '-36', '35', '28']:pred [20.746367 15.345994 36.       35.       11.357663]
hybrid_-30_45_-22_10_15_230_70_420:gt ['-30', '45', '-22', '10', '15']:pred [22.576931  33.312065  22.        10.         3.0768592]
hatchback_-50_45_-22_48_15_20_70_420:gt ['-50', '45', '-22', '48', '15']:pred [40.04145  29.204863 38.690086 35.556202 20.696821]
sedan2door_-30_45_-36_48_28_140_30_420:gt ['-30', '45', '-36', '48', '28']:pred [30.      35.91429 36.      48.      28.     ]
suv_-50_15_-4_10_46_50_30_420:gt ['-50', '15', '-4', '10', '46']:pred [35.505188  15.         3.9269516 10.        46.       ]
sedan2door_-30_15_-36_48_28_50_70_420:gt ['-30', '15', '-36', '48', '28']:pred [38.668835  8.107635 36.       48.       21.703634]
sedan2door_-17_45_-4_10_15_140_30_420:gt ['-17', '45', '-4', '10', '15']:pred [17.       36.684383  4.       10.       15.      ]
suv_-50_15_-4_35_15_230_30_420:gt ['-50', '15', '-4', '35', '15']:pred [50.        8.5264    4.       35.314945  3.520978]
sedan4door_-17_23_-36_10_15_50_30_420:gt ['-17', '23', '-36', '10', '15']:pred [12.797249 23.       43.936523 10.       15.      ]
hatchback_-30_23_-36_35_28_140_70_420:gt ['-30', '23', '-36', '35', '28']:pred [18.837872 16.005367 36.       33.0975   26.864222]
sedan4door_-50_23_-36_35_15_20_30_420:gt ['-50', '23', '-36', '35', '15']:pred [34.139946 23.       47.33422  35.       12.515469]
sedan4door_-17_15_-22_48_15_230_70_420:gt ['-17', '15', '-22', '48', '15']:pred [ 8.8931875 17.58399   29.125622  48.33305    4.473497 ]
suv_-50_23_-4_35_28_20_30_420:gt ['-50', '23', '-4', '35', '28']:pred [31.98689   23.         5.6783977 35.        24.60453  ]
sedan4door_-50_45_-22_48_15_50_30_420:gt ['-50', '45', '-22', '48', '15']:pred [38.679287 45.       38.104664 48.       15.      ]
sedan4door_-30_45_-22_48_28_140_30_420:gt ['-30', '45', '-22', '48', '28']:pred [30.       27.316626 22.       47.546284 28.      ]
suv_-30_45_-4_35_28_50_30_420:gt ['-30', '45', '-4', '35', '28']:pred [40.0717    45.         1.9250035 35.        28.       ]
hybrid_-50_23_-4_10_15_20_70_420:gt ['-50', '23', '-4', '10', '15']:pred [36.96905   8.521865  4.       10.        7.473736]
sedan4door_-17_23_-4_35_46_230_70_420:gt ['-17', '23', '-4', '35', '46']:pred [ 7.788297 12.572998 19.07309  33.62664  13.840861]
suv_-50_15_-22_48_46_230_30_420:gt ['-50', '15', '-22', '48', '46']:pred [50.       14.441374 22.       43.3582   38.899357]
hatchback_-50_23_-36_10_28_230_30_420:gt ['-50', '23', '-36', '10', '28']:pred [50.         4.0285153 36.         7.0452876 15.560381 ]
sedan2door_-30_23_-22_48_15_20_70_420:gt ['-30', '23', '-22', '48', '15']:pred [34.8565   10.186072 22.       48.       10.771875]
sedan2door_-30_23_-36_48_15_140_70_420:gt ['-30', '23', '-36', '48', '15']:pred [18.56227   26.442553  36.        16.226112   7.9836335]
sedan2door_-50_23_-36_48_15_230_70_420:gt ['-50', '23', '-36', '48', '15']:pred [24.940468  22.231361  36.        48.         2.7902987]
hybrid_-17_15_-36_35_46_140_30_420:gt ['-17', '15', '-36', '35', '46']:pred [17.         5.1315494 36.        35.        46.       ]
sedan2door_-50_15_-4_35_28_230_30_420:gt ['-50', '15', '-4', '35', '28']:pred [50.         4.6096816  4.        35.        18.758537 ]
hatchback_-17_23_-4_48_46_140_30_420:gt ['-17', '23', '-4', '48', '46']:pred [17.        8.576319  4.       48.29568  46.      ]
suv_-17_23_-22_35_15_140_30_420:gt ['-17', '23', '-22', '35', '15']:pred [17.        8.603704 22.       40.540257 15.      ]
sedan2door_-50_45_-36_35_15_230_30_420:gt ['-50', '45', '-36', '35', '15']:pred [50.       31.745445 36.       35.        8.253107]
hatchback_-50_23_-4_10_46_140_70_420:gt ['-50', '23', '-4', '10', '46']:pred [34.914177 12.831871  4.       14.358371 42.103695]
suv_-30_23_-22_10_15_50_30_420:gt ['-30', '23', '-22', '10', '15']:pred [38.170925 23.       31.416851 10.       15.      ]
hatchback_-17_15_-4_35_46_50_70_420:gt ['-17', '15', '-4', '35', '46']:pred [ 9.585576 12.771203 22.699177 35.       33.538025]
hybrid_-50_15_-4_10_15_230_30_420:gt ['-50', '15', '-4', '10', '15']:pred [50.         2.7003722  4.        10.         3.8651817]
hybrid_-17_15_-36_48_28_230_70_420:gt ['-17', '15', '-36', '48', '28']:pred [ 8.771372 13.699167 36.       48.       12.747438]
suv_-17_15_-36_35_46_50_70_420:gt ['-17', '15', '-36', '35', '46']:pred [ 8.896472 17.004734 30.717995 35.       31.651226]
hybrid_-17_15_-22_35_46_50_70_420:gt ['-17', '15', '-22', '35', '46']:pred [18.303183  10.0594015 22.        35.        30.4869   ]
suv_-17_15_-36_48_28_140_30_420:gt ['-17', '15', '-36', '48', '28']:pred [17.         5.9352036 36.        45.49248   28.       ]
sedan4door_-30_15_-4_35_46_20_70_420:gt ['-30', '15', '-4', '35', '46']:pred [26.126793   7.537271   7.0789323 35.        13.089303 ]
hatchback_-17_23_-36_10_15_20_30_420:gt ['-17', '23', '-36', '10', '15']:pred [12.877076  23.        34.558304  10.         4.6820393]
suv_-17_23_-22_48_46_230_30_420:gt ['-17', '23', '-22', '48', '46']:pred [17.       16.117765 22.       44.708115 34.434437]
sedan4door_-50_45_-22_10_15_140_70_420:gt ['-50', '45', '-22', '10', '15']:pred [42.201588 42.817905 22.       16.276741  8.233946]
sedan2door_-17_45_-4_35_28_140_70_420:gt ['-17', '45', '-4', '35', '28']:pred [12.271409 43.326492  4.       35.       13.091569]
hybrid_-17_15_-36_35_15_140_70_420:gt ['-17', '15', '-36', '35', '15']:pred [ 9.578556   5.123532  36.         8.395672   4.0384336]
hybrid_-30_45_-36_10_46_50_70_420:gt ['-30', '45', '-36', '10', '46']:pred [32.133324 45.510036 36.       10.       33.962532]
sedan4door_-17_15_-22_35_46_50_30_420:gt ['-17', '15', '-22', '35', '46']:pred [12.930914 15.       33.04975  35.       46.      ]
sedan4door_-30_15_-22_10_28_50_70_420:gt ['-30', '15', '-22', '10', '28']:pred [33.670826  9.272055 19.10593  10.       13.75671 ]
hatchback_-30_45_-22_10_15_140_70_420:gt ['-30', '45', '-22', '10', '15']:pred [28.917412 39.06946  22.       19.184294  6.348729]
sedan4door_-17_23_-4_48_46_140_70_420:gt ['-17', '23', '-4', '48', '46']:pred [ 8.581259 13.959339  4.       37.837376 16.570448]
sedan4door_-50_15_-22_48_15_230_70_420:gt ['-50', '15', '-22', '48', '15']:pred [35.54595  22.563578 29.956636 41.90563   4.355294]
suv_-50_45_-36_48_46_140_30_420:gt ['-50', '45', '-36', '48', '46']:pred [50.       30.449507 36.       45.117085 46.      ]
sedan4door_-17_15_-22_35_15_230_70_420:gt ['-17', '15', '-22', '35', '15']:pred [ 6.3938546 11.832762  29.62137   36.875984   4.5106173]
sedan2door_-30_45_-22_10_15_20_70_420:gt ['-30', '45', '-22', '10', '15']:pred [37.486946 35.313477 22.       10.       11.01547 ]
hatchback_-50_15_-4_10_28_50_30_420:gt ['-50', '15', '-4', '10', '28']:pred [37.21502   15.         4.1639323 10.        28.       ]
suv_-17_45_-4_48_28_50_70_420:gt ['-17', '45', '-4', '48', '28']:pred [19.84201   43.28878    2.7309375 27.301968   9.214808 ]
suv_-30_23_-36_35_46_140_30_420:gt ['-30', '23', '-36', '35', '46']:pred [30.        9.426219 36.       38.915604 46.      ]
sedan4door_-50_15_-4_10_28_20_70_420:gt ['-50', '15', '-4', '10', '28']:pred [40.249947  4.927492 13.721375 10.        5.580491]
suv_-17_45_-22_35_15_230_70_420:gt ['-17', '45', '-22', '35', '15']:pred [10.407319  31.004583  26.755861  30.473482   3.1074877]
sedan2door_-30_15_-22_10_15_140_30_420:gt ['-30', '15', '-22', '10', '15']:pred [30.        6.748149 22.       10.       15.      ]
suv_-30_23_-4_48_15_140_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.       10.872933  4.       49.521187 15.      ]
suv_-17_45_-22_10_15_50_30_420:gt ['-17', '45', '-22', '10', '15']:pred [18.585377 45.       28.26223  10.       15.      ]
hybrid_-17_45_-22_48_28_50_30_420:gt ['-17', '45', '-22', '48', '28']:pred [19.161982 45.       22.       48.       28.      ]
hybrid_-50_23_-4_35_46_140_70_420:gt ['-50', '23', '-4', '35', '46']:pred [40.462467 18.019062  4.       35.       30.277565]
suv_-50_45_-36_48_46_50_70_420:gt ['-50', '45', '-36', '48', '46']:pred [37.976475 40.888477 31.577747 32.69957  31.474236]
suv_-50_15_-22_35_46_50_70_420:gt ['-50', '15', '-22', '35', '46']:pred [37.047188 18.33395  25.396843 32.01568  24.081736]
hatchback_-30_15_-4_35_15_230_70_420:gt ['-30', '15', '-4', '35', '15']:pred [30.836266   8.397265  18.578777  32.222206   4.3930683]
hybrid_-50_23_-22_35_28_230_70_420:gt ['-50', '23', '-22', '35', '28']:pred [37.12395  20.330204 22.       35.        8.51102 ]
hatchback_-30_45_-4_48_28_140_70_420:gt ['-30', '45', '-4', '48', '28']:pred [25.256348 31.636145  4.       39.771584 16.716862]
hatchback_-17_45_-36_48_15_50_30_420:gt ['-17', '45', '-36', '48', '15']:pred [18.793758 45.       43.833843 48.       15.      ]
hybrid_-17_45_-36_10_46_140_70_420:gt ['-17', '45', '-36', '10', '46']:pred [11.271468 36.68624  36.       10.       19.81525 ]
suv_-50_15_-4_35_15_140_30_420:gt ['-50', '15', '-4', '35', '15']:pred [50.         4.8556323  4.        37.275303  15.       ]
sedan4door_-30_23_-22_10_28_140_30_420:gt ['-30', '23', '-22', '10', '28']:pred [30.       15.247521 22.        6.279359 28.      ]
sedan4door_-17_15_-36_10_28_140_70_420:gt ['-17', '15', '-36', '10', '28']:pred [ 8.909019   7.874885  36.         9.820311   9.1041155]
sedan2door_-30_23_-4_10_28_50_70_420:gt ['-30', '23', '-4', '10', '28']:pred [37.826622 23.156208  4.       10.       19.24773 ]
suv_-50_23_-4_35_46_50_30_420:gt ['-50', '23', '-4', '35', '46']:pred [35.165718  23.         4.6728873 35.        46.       ]
suv_-50_23_-4_48_15_140_70_420:gt ['-50', '23', '-4', '48', '15']:pred [36.98327  19.462725  4.       35.79113   6.816954]
sedan4door_-50_23_-4_35_28_20_30_420:gt ['-50', '23', '-4', '35', '28']:pred [39.198814 23.        7.322995 35.       19.062546]
hybrid_-50_45_-36_35_46_50_30_420:gt ['-50', '45', '-36', '35', '46']:pred [42.59585 45.      36.      35.      46.     ]
hatchback_-17_15_-22_35_28_50_30_420:gt ['-17', '15', '-22', '35', '28']:pred [15.113448 15.       36.95066  35.       28.      ]
sedan2door_-50_15_-36_35_28_20_30_420:gt ['-50', '15', '-36', '35', '28']:pred [32.546944  15.        36.        35.         7.2290177]
hybrid_-50_45_-4_48_28_20_30_420:gt ['-50', '45', '-4', '48', '28']:pred [35.71418  45.        4.       48.       19.245262]
sedan4door_-30_45_-4_48_28_140_70_420:gt ['-30', '45', '-4', '48', '28']:pred [23.507074 37.53113   4.       43.319183  7.509472]
sedan2door_-50_45_-36_10_46_230_30_420:gt ['-50', '45', '-36', '10', '46']:pred [50.       37.68308  36.       10.       29.122196]
hatchback_-17_45_-4_35_15_140_30_420:gt ['-17', '45', '-4', '35', '15']:pred [17.       16.94385   4.       45.312397 15.      ]
hybrid_-30_15_-4_48_46_140_30_420:gt ['-30', '15', '-4', '48', '46']:pred [30.        5.055627  4.       48.       46.      ]
hybrid_-17_23_-4_48_15_230_30_420:gt ['-17', '23', '-4', '48', '15']:pred [17.         4.6809373  4.        48.         2.1571417]
hatchback_-30_15_-4_35_28_140_30_420:gt ['-30', '15', '-4', '35', '28']:pred [30.         6.6122613  4.        45.37658   28.       ]
hybrid_-30_23_-22_35_46_230_70_420:gt ['-30', '23', '-22', '35', '46']:pred [24.274395 17.160955 22.       35.       26.480593]
hatchback_-17_15_-36_10_15_230_70_420:gt ['-17', '15', '-36', '10', '15']:pred [13.310625  14.572433  38.998825  17.559826   4.1650496]
suv_-17_15_-4_35_28_50_70_420:gt ['-17', '15', '-4', '35', '28']:pred [18.131462  18.496384   2.0683296 35.         7.363125 ]
hatchback_-17_45_-36_48_28_50_30_420:gt ['-17', '45', '-36', '48', '28']:pred [17.983768 45.       45.125427 48.       28.      ]
sedan4door_-17_45_-22_35_46_140_70_420:gt ['-17', '45', '-22', '35', '46']:pred [ 9.4054165 38.391922  14.763634  43.152836  17.309093 ]
hatchback_-30_23_-36_48_46_50_70_420:gt ['-30', '23', '-36', '48', '46']:pred [19.472193 32.275455 37.269527 48.       33.302925]
hatchback_-50_23_-4_48_15_50_30_420:gt ['-50', '23', '-4', '48', '15']:pred [37.702194  23.         3.4228394 48.        15.       ]
suv_-50_45_-36_10_15_140_70_420:gt ['-50', '45', '-36', '10', '15']:pred [41.530994 36.65442  19.01543  12.611919  8.118637]
sedan4door_-50_45_-4_35_15_230_70_420:gt ['-50', '45', '-4', '35', '15']:pred [35.16252   43.250317  18.188267  33.68617    3.5840635]
sedan4door_-50_23_-36_10_15_50_70_420:gt ['-50', '23', '-36', '10', '15']:pred [46.031406 19.46221  37.127903 14.545305  8.930406]
hatchback_-17_15_-36_48_15_140_70_420:gt ['-17', '15', '-36', '48', '15']:pred [12.413743   9.911635  36.        40.52739    6.1170216]
hatchback_-50_45_-4_35_28_50_30_420:gt ['-50', '45', '-4', '35', '28']:pred [37.828712  45.         3.9932714 35.        28.       ]
sedan2door_-50_15_-22_48_46_140_30_420:gt ['-50', '15', '-22', '48', '46']:pred [50.         7.6259956 22.        48.        46.       ]
hatchback_-30_23_-4_10_15_20_30_420:gt ['-30', '23', '-4', '10', '15']:pred [23.268578  23.         5.440843  10.         3.0566885]
sedan2door_-50_23_-22_35_15_20_30_420:gt ['-50', '23', '-22', '35', '15']:pred [29.853888  23.        22.        35.         2.4605846]
hybrid_-30_45_-4_48_15_230_30_420:gt ['-30', '45', '-4', '48', '15']:pred [30.       21.43763   4.       48.        4.913148]
hybrid_-17_23_-22_48_46_140_70_420:gt ['-17', '23', '-22', '48', '46']:pred [12.545862 13.030952 22.       48.       28.106459]
hatchback_-17_45_-36_48_46_230_70_420:gt ['-17', '45', '-36', '48', '46']:pred [12.166398 41.64721  38.569916 43.546143 23.623493]
sedan4door_-17_45_-4_10_28_140_70_420:gt ['-17', '45', '-4', '10', '28']:pred [14.67371  39.685127  4.       16.138823 10.479536]
sedan2door_-50_45_-36_10_15_230_30_420:gt ['-50', '45', '-36', '10', '15']:pred [50.       31.584524 36.       10.        8.747522]
suv_-50_15_-36_35_46_50_70_420:gt ['-50', '15', '-36', '35', '46']:pred [35.09224  18.10848  35.038612 30.273628 35.935955]
sedan4door_-50_23_-22_10_28_50_30_420:gt ['-50', '23', '-22', '10', '28']:pred [39.288826 23.       37.44926  10.       28.      ]
hybrid_-50_23_-36_10_28_20_70_420:gt ['-50', '23', '-36', '10', '28']:pred [35.676685  9.083256 36.       10.       18.22837 ]
