425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [ 8.53187    8.6063595 40.        40.        31.950634 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.        15.781511   1.4887917 14.544976  11.117096 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [11.0763   50.572136 22.42966  16.61203  49.298656]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [12.58801  13.48033   3.98663  40.       54.979435]
a88d69e53a01aab9ff1370452e3a0154_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [ 9.836867  3.56368   5.195585 37.360786 27.36389 ]
9d2b7938d426633b28044fe9244db50a_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [15.8494005  2.2605162  4.36662   40.         9.427763 ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [22.378609 22.752502 40.       22.908665 16.492775]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [ 2.761033    0.52438265 40.          1.011081   12.440436  ]
4458ed2a746e61a3b11647ffa4306609_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.        25.686354  40.        16.107376   3.9556177]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [ 8.165464 24.292944  6.317317 29.522793 31.931608]
12f2905dc029f59a2479fbc7da5ed22b_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20.         4.8744173 20.        17.529816  24.232079 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [ 7.644119 53.62549  35.52934  12.119503 31.56401 ]
9d2b7938d426633b28044fe9244db50a_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [14.922174   4.8222737  5.4326134 25.254486  10.280848 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [13.386236 32.65963  10.735783  4.418396 39.110344]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 9.620051  28.96739    4.0265903 20.975206  31.126839 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [14.6504755 24.07839   11.827453  35.086483  33.63579  ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [12.11131  19.718937 22.70188  47.98465  29.048174]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [32.349842 26.671963 40.       39.732155 27.698235]
fabcb04fc015f822ca8bf2993ca245b_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [32.860897 33.63404  40.       32.936497 57.11678 ]
6265f0745d3f40546bcd32c43682e841_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [ 3.8756244  8.428031   3.1692357 18.485659  20.524849 ]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [48.166115 54.556225 10.018462 20.       50.747746]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [10.010461 15.031863  6.017774 40.37395  54.900887]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [ 8.531727 21.00513   8.786282 34.00388  41.380142]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [25.940342 16.680435 20.       10.390414 37.641563]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [ 7.7800503  4.665213   1.4592888 30.22159   51.004654 ]
9d2b7938d426633b28044fe9244db50a_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [25.902126   9.443914  40.        40.         4.0368466]
c61ec8875746ab78227375499b768057_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [ 9.063215   9.013076   6.3800454  2.719914  19.676193 ]
825fb860d71c78a477c771b4b7eed82c_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [11.91805    5.6337433  6.5027266  5.7882304 45.936356 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [15.473589   2.64931    1.1851825  7.62224   10.593422 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [15.6386175 14.807813  12.787044  30.148884  50.14938  ]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [16.37007  10.222391 13.32331  12.038484 30.306072]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [17.543615 17.59808   6.297273 14.533083 53.49073 ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [11.23989   11.740372   7.5815945 19.772915  10.439992 ]
c61ec8875746ab78227375499b768057_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [ 9.172536 31.909464 47.8694   20.44582  15.097915]
5ec3322293a39816ad7e7cea4034d226_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [12.636177   5.1217594  9.663596  40.         7.1993484]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.       12.77073   9.702911 14.43989  36.144306]
216d910f71942f205df3c6413d40ccb2_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [15.110327   3.957392   2.3625522  7.1709576 19.768278 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [20.       31.913979 20.       30.089027 40.918133]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [12.29022    8.649735   2.7269287  7.235469  20.84188  ]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [20.        6.900307 20.       15.03783  21.838223]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [17.103973   3.814812   3.6589506 34.28995   45.108017 ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [10.487835 28.144962 40.       40.       21.732273]
a387407d49e209fdeea60824a43a0b_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       38.565334 40.        8.906652 18.20343 ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [20.75787   8.282935 14.353502 20.       28.573156]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [ 6.641844 15.650331  4.660271 38.146725 31.005339]
4f17af1ca7ae689d409b2c4484d833cc_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [10.651529 29.5658    8.858756 10.849211 20.941816]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [ 5.0381327  5.06425    4.1153884 29.059357  24.506382 ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [14.134931 31.432327 13.380319 11.322897 34.916756]
d0cf2f187acda5736be7348aa770e4ca_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       11.869347 40.       22.723957  8.41058 ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [18.581947  16.181688   5.2873297 16.692696  41.51495  ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [16.56486   30.460768   2.8652282 13.896584  38.309708 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [21.499039 31.720577 40.       40.       49.630146]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [20.222723 16.757689 11.209996 40.78903  37.15084 ]
a387407d49e209fdeea60824a43a0b_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 9.570112  34.091286   7.4082294  6.3612833  4.6624165]
4ac021653126a29e98618a1ba17f086b_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [14.587967   7.2036743  2.8670397 18.01456   37.570465 ]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       10.21352  40.        4.228253 27.919502]
7dac31838b627748eb631ba05bd8dfe_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [12.295829   9.978168   7.1415825 11.852784   9.681504 ]
6265f0745d3f40546bcd32c43682e841_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [ 7.338315 11.673904  6.390284 17.46728  17.375   ]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [11.357944  39.33247    7.7492123 15.119913   9.155702 ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [13.286117 23.429678 10.185119 39.3034   56.116264]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [ 6.691018  3.80157   5.16475  10.661295 34.289783]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [11.355078 19.411825 17.485582 35.77544  12.151733]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [17.82639  52.31412  27.775383 51.550056 23.055313]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [14.590846  24.465994   3.8286195 42.59772   52.118248 ]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [14.138054 12.627857 20.       12.484361 47.66331 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [40.         5.703427   1.3293514 19.423162   8.033057 ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       16.951815 20.       29.248936 33.923985]
c61ec8875746ab78227375499b768057_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [19.138643 38.37636   8.4514   27.430347 34.208138]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [14.111475  8.272042  8.992284 40.       40.      ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [15.637489 12.827201 20.       16.29793  12.082693]
9d2b7938d426633b28044fe9244db50a_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [17.384146   8.390936   8.475427  29.032404   3.7505615]
2f7cf2c2d170e3c936f37029483b3e41_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [22.250439 28.347265 22.761162 20.       48.670433]
9d2b7938d426633b28044fe9244db50a_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [18.598135   7.9899545  8.693619  30.387226   3.9932013]
1a64bf1e658652ddb11647ffa4306609_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [18.930994 31.741198 36.46032  43.315723 19.755264]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [ 9.219477   4.7085624 40.         2.7970536 26.225431 ]
4458ed2a746e61a3b11647ffa4306609_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [15.857162  12.7904215 40.        16.410416  11.727297 ]
7c46bfff2f90f11044592db9be5db5c8_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [20.65526   27.392704   4.2891994  2.6621428 30.050276 ]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [25.077866 14.769754 14.385577 36.226906 23.816816]
825fb860d71c78a477c771b4b7eed82c_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [17.142918 44.048    31.613714 10.64911  30.955528]
c61ec8875746ab78227375499b768057_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [ 9.715573  35.474236  20.        20.480082  11.7054825]
cde88b5900e8dfba725a7749daae1afa_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [ 4.022616   6.8983884 26.07459    3.753224  49.95098  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.         5.1835766  2.386785  28.969633   7.303105 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [25.068203 37.09204  17.844442 24.260403 29.293184]
9c827e532de4967285089a13cc567dbd_20_20_20_40_20_240_40_400:gt ['20', '20', '20', '40', '20']:pred [20.67526  24.015984 26.648838  9.335555 30.920494]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [15.752649 21.079346 40.       17.570152 52.619553]
216d910f71942f205df3c6413d40ccb2_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [17.206392 17.459356 16.814503 28.115135 27.345947]
7dac31838b627748eb631ba05bd8dfe_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [ 5.253028  31.399355   6.0097365  7.0582314 18.947964 ]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.        11.053807  20.         5.1157856 18.039465 ]
1a64bf1e658652ddb11647ffa4306609_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [24.84554  30.374525 20.274256 25.67796  36.422024]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [29.624395 36.9825   32.557907 45.4083   41.73788 ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [19.366068  2.286241 24.66381  20.       40.      ]
a387407d49e209fdeea60824a43a0b_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [14.86965  23.33918   8.124377  8.738911  3.495873]
9c827e532de4967285089a13cc567dbd_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 9.254931 25.613583  9.649646 10.658937 32.224636]
825fb860d71c78a477c771b4b7eed82c_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       14.418444 20.       24.54633  49.97482 ]
4458ed2a746e61a3b11647ffa4306609_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [10.840743   4.9853163  9.859167  19.133522   4.8828754]
1a64bf1e658652ddb11647ffa4306609_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [40.       16.631609 20.       24.973623 38.254185]
1790131f5f74b1ed973aff268eb6b00c_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [ 8.845481  5.842336 40.        3.455497 35.93463 ]
923007b377bb1cab473f10e6caaeca56_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [12.398196  25.429781   4.7690687 17.72773   13.924935 ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [14.741985  6.893401 40.       20.       22.314547]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [ 9.567477  8.09797   8.980349 21.603062 17.190777]
1790131f5f74b1ed973aff268eb6b00c_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [16.648024   5.7030954  9.999292  13.776002  26.339478 ]
9c827e532de4967285089a13cc567dbd_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [ 3.9044778 33.467678  40.         3.397696  56.672405 ]
923007b377bb1cab473f10e6caaeca56_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [11.668864  38.596184   7.8797703 14.118395   9.585283 ]
216d910f71942f205df3c6413d40ccb2_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [15.152914  24.740593   5.1675878 20.225927   8.88704  ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [16.5204   23.6091   12.993657 10.246209 25.611229]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [27.761667  13.622762   3.8150127 10.133669  12.498489 ]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [ 6.5601683  8.583706   6.0417557 20.660088  41.726967 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 7.79856  41.591606 36.451878 20.       40.361492]
1a64bf1e658652ddb11647ffa4306609_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [10.081722 35.705196 37.37465  19.904741 48.42911 ]
923007b377bb1cab473f10e6caaeca56_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [12.469578  22.97374    6.2038436 17.385668  11.285161 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [13.831938  14.2477665  2.9147854 51.878017  38.14772  ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       11.345604 20.       28.100447 18.098667]
216d910f71942f205df3c6413d40ccb2_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [ 7.645527  13.1800995  9.874498  26.266245  33.534233 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [ 4.245026   1.7687542 40.         0.9195294 26.372726 ]
216d910f71942f205df3c6413d40ccb2_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [13.674132   3.3933313  3.142774   8.546841  16.351435 ]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.        12.896504   4.0918884 33.58006   13.977109 ]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [ 6.700248 10.312896  5.875736 15.588661 18.913692]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [ 2.9103808  0.5875139 40.         0.9882737 12.063467 ]
9c827e532de4967285089a13cc567dbd_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [26.288012 12.783675 40.       14.442526 52.735394]
923007b377bb1cab473f10e6caaeca56_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [ 9.444189   3.4841304 12.992934  13.870472  26.772062 ]
216d910f71942f205df3c6413d40ccb2_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [10.959938  8.802183  7.651571 22.501736 31.48289 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 7.7887406 32.673973  11.07913    5.328602  48.81442  ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       24.509905 40.       35.840584 28.050167]
c61ec8875746ab78227375499b768057_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [22.709791 37.42413  40.       36.498497 20.546093]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [12.864923 14.269767  6.249966  6.563524 23.953278]
9d2b7938d426633b28044fe9244db50a_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [16.001905   4.5903854  5.569567  25.23647   11.026503 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [ 5.527159  9.436318  8.041799 28.10753  41.748524]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [13.53928    8.464386   3.0328364 10.980841  23.235792 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [34.990234 48.458702  4.163327 20.       40.      ]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [18.131086 23.066961 40.       40.       40.      ]
825fb860d71c78a477c771b4b7eed82c_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [ 7.527211 35.99391   8.493288  9.206471 45.209236]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [ 7.552518    0.98501825 40.          3.4933786  18.62414   ]
1a64bf1e658652ddb11647ffa4306609_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [ 9.762482 22.122873 40.77979  15.620438 40.127354]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [28.192938 48.429974 19.294506 22.260893 38.85557 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [17.24641  50.772133 27.687233 22.185068 47.803017]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [19.26157   37.486485   7.639736   3.2216623 55.664547 ]
5ec3322293a39816ad7e7cea4034d226_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [14.091077   2.5919688 20.        20.        44.001644 ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [16.326847  19.187775   3.5833359 40.        56.306786 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [11.63891  19.739077 16.188013 12.797076 57.160084]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [16.522247 14.99431  40.       15.545998 27.821928]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [38.63497  14.022616 16.30058  41.155556 53.166737]
5ec3322293a39816ad7e7cea4034d226_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.         3.3032773 20.        20.        41.188667 ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [16.047138  13.0155735 20.        16.822937  10.967085 ]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [22.586044 13.068403 26.180075 25.237852 25.97022 ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [40.       23.226028 20.       17.367212 34.831467]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [25.730562 37.550613 22.723953 18.130213 31.47612 ]
6265f0745d3f40546bcd32c43682e841_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [ 4.9578657 12.331152  40.         4.1761494 52.75463  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [11.1504345 19.448797   4.8660665 35.347458  18.639622 ]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [ 8.560033   2.9168956  3.8187141 11.662475  12.252475 ]
7c46bfff2f90f11044592db9be5db5c8_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [ 9.810275    3.433115    0.61711687 12.9080515  33.163467  ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [20.715162 24.343203 16.11547  14.202381 54.934277]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [17.087908 28.976133 17.18442  47.19586  33.1588  ]
4458ed2a746e61a3b11647ffa4306609_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [13.67243   8.710158 13.814585 33.03816   2.736251]
5ec3322293a39816ad7e7cea4034d226_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [23.79759 11.5606  40.      33.27961 33.39779]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [27.035341 16.370668 40.       20.       29.76276 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [22.004684 41.14405  40.       29.987535 16.973797]
1790131f5f74b1ed973aff268eb6b00c_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [11.300753   6.3716593  2.1658335  7.585797  25.193335 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [14.635675 57.307407 32.637653  9.836654 36.705467]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [12.12174    5.0255623  7.9265623 21.298092  16.39304  ]
c61ec8875746ab78227375499b768057_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [ 9.150522   9.128586   6.1906395  2.479408  20.95358  ]
